log_adj,smiles,group
2.200702336,N1(CCN(CC1)C[C@@H]1C[C@H]1c1ccccc1)c1ccc(cc1C)C,training
0.915930272,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N([C@@H]2[C@@H]([C@H]3CC[C@@H]2C3)C=1O)CCC(C)C)C,training
1.484599888,O1[C@@H](C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)ccc2)C(=O)N2NC(CCC2)C1=O)/C(=C/C=C/C(=O)N(CC)CC)/C,training
2.158891657,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,training
1.707778029,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C1=C(O)C(=NN(CCC(C)C)C1=O)CCC)C,training
0.865952251,O1CC(Cc2c1cccc2)c1[nH]c2cc(ccc2n1)-c1nc(ncc1)N,training
1.450462022,Clc1ccc(cc1)-c1cc(F)c(cc1)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)Nc1ccncc1,training
0.730152166,S(=O)(=O)(Nc1cc2S(=O)(=O)N=C(Nc2cc1)C=1C(=O)N(n2c(ccc2)C=1O)CCC(C)C)C1CC1,training
0.334065601,s1c2c(cc(NC(=O)C3(NC(=O)c4cc5n(C)c(c(c5cc4)C4CCCCC4)-c4ncccc4)CCN(CC3)C)cc2)c(C)c1C(O)=O,training
1.464262338,Fc1ccc(OC[C@@H]2CC[C@@H]3N(C2)CCN(C3)c2ncc(F)cn2)cc1,training
0.396853326,Ic1cc(F)c(NC=2C3=C(N=CN(C[C@@H](O)CO)C3=O)N(C)C(=O)C=2F)cc1,training
2.636869738,CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,training
3.098296832,OC1=CC=C(C=C1)C(=O)OC1=CC=CC=C1,training
1.068524633,O(c1cc2CC(N)c3n(-c2cc1)cnn3)c1ccccc1,training
